"Timestamp","Central_Latitude_Decimal","Central_Longitude_Decimal","Path Width (km)"
2024-04-08 12:42:00,-5.83666666666667,-148.13,159
2024-04-08 12:42:01,-5.82668228596606,-148.09167342379,159
2024-04-08 12:42:02,-5.81671273693202,-148.05345428699,159
2024-04-08 12:42:03,-5.80675798001977,-148.015342300247,159
2024-04-08 12:42:04,-5.79681797568457,-147.977337174211,159
2024-04-08 12:42:05,-5.78689268438166,-147.939438619529,159
2024-04-08 12:42:06,-5.7769820665663,-147.901646346849,159
2024-04-08 12:42:07,-5.76708608269373,-147.86396006682,159
2024-04-08 12:42:08,-5.75720469321919,-147.82637949009,159
2024-04-08 12:42:09,-5.74733785859793,-147.788904327306,159
2024-04-08 12:42:10,-5.7374855392852,-147.751534289118,159
2024-04-08 12:42:11,-5.72764769573625,-147.714269086172,159
2024-04-08 12:42:12,-5.71782428840633,-147.677108429118,159
2024-04-08 12:42:13,-5.70801527775067,-147.640052028603,159
2024-04-08 12:42:14,-5.69822062422453,-147.603099595276,159
2024-04-08 12:42:15,-5.68844028828315,-147.566250839785,159
2024-04-08 12:42:16,-5.67867423038178,-147.529505472777,159
2024-04-08 12:42:17,-5.66892241097568,-147.492863204902,159
2024-04-08 12:42:18,-5.65918479052007,-147.456323746806,159
2024-04-08 12:42:19,-5.64946132947022,-147.419886809139,159
2024-04-08 12:42:20,-5.63975198828137,-147.383552102549,159
2024-04-08 12:42:21,-5.63005672740876,-147.347319337683,159
2024-04-08 12:42:22,-5.62037550730764,-147.311188225189,159
2024-04-08 12:42:23,-5.61070828843327,-147.275158475717,159
2024-04-08 12:42:24,-5.60105503124087,-147.239229799914,159
2024-04-08 12:42:25,-5.59141569618572,-147.203401908428,159
2024-04-08 12:42:26,-5.58179024372304,-147.167674511907,159
2024-04-08 12:42:27,-5.57217863430809,-147.132047321,159
2024-04-08 12:42:28,-5.56258082839611,-147.096520046354,159
2024-04-08 12:42:29,-5.55299678644236,-147.061092398618,159
2024-04-08 12:42:30,-5.54342646890207,-147.025764088441,159
2024-04-08 12:42:31,-5.53386983623049,-146.990534826469,159
2024-04-08 12:42:32,-5.52432684888288,-146.955404323351,159
2024-04-08 12:42:33,-5.51479746731447,-146.920372289736,159
2024-04-08 12:42:34,-5.50528165198053,-146.885438436272,159
2024-04-08 12:42:35,-5.49577936333628,-146.850602473606,159
2024-04-08 12:42:36,-5.48629056183698,-146.815864112387,159
2024-04-08 12:42:37,-5.47681520793788,-146.781223063263,159
2024-04-08 12:42:38,-5.46735326209422,-146.746679036882,159
2024-04-08 12:42:39,-5.45790468476125,-146.712231743892,159
2024-04-08 12:42:40,-5.44846943639422,-146.677880894942,159
2024-04-08 12:42:41,-5.43904747744837,-146.643626200679,159
2024-04-08 12:42:42,-5.42963876837895,-146.609467371752,159
2024-04-08 12:42:43,-5.42024326964121,-146.575404118809,159
2024-04-08 12:42:44,-5.41086094169039,-146.541436152498,159
2024-04-08 12:42:45,-5.40149174498175,-146.507563183467,159
2024-04-08 12:42:46,-5.39213563997052,-146.473784922365,159
2024-04-08 12:42:47,-5.38279258711196,-146.440101079839,159
2024-04-08 12:42:48,-5.37346254686131,-146.406511366537,159
2024-04-08 12:42:49,-5.36414547967382,-146.373015493108,159
2024-04-08 12:42:50,-5.35484134600474,-146.339613170201,159
2024-04-08 12:42:51,-5.3455501063093,-146.306304108462,159
2024-04-08 12:42:52,-5.33627172104277,-146.27308801854,159
2024-04-08 12:42:53,-5.32700615066039,-146.239964611084,159
2024-04-08 12:42:54,-5.31775335561739,-146.206933596741,159
2024-04-08 12:42:55,-5.30851329636904,-146.17399468616,159
2024-04-08 12:42:56,-5.29928593337058,-146.141147589989,159
2024-04-08 12:42:57,-5.29007122707725,-146.108392018876,159
2024-04-08 12:42:58,-5.2808691379443,-146.075727683469,159
2024-04-08 12:42:59,-5.27167962642698,-146.043154294416,159
2024-04-08 12:43:00,-5.26250265298053,-146.010671562365,159
2024-04-08 12:43:01,-5.25333817806021,-145.978279197965,159
2024-04-08 12:43:02,-5.24418616212125,-145.945976911864,159
2024-04-08 12:43:03,-5.23504656561891,-145.913764414709,159
2024-04-08 12:43:04,-5.22591934900844,-145.88164141715,159
2024-04-08 12:43:05,-5.21680447274507,-145.849607629833,159
2024-04-08 12:43:06,-5.20770189728406,-145.817662763408,159
2024-04-08 12:43:07,-5.19861158308065,-145.785806528522,159
2024-04-08 12:43:08,-5.1895334905901,-145.754038635824,159
2024-04-08 12:43:09,-5.18046758026764,-145.722358795962,159
2024-04-08 12:43:10,-5.17141381256852,-145.690766719583,159
2024-04-08 12:43:11,-5.162372147948,-145.659262117337,159
2024-04-08 12:43:12,-5.15334254686131,-145.627844699871,159
2024-04-08 12:43:13,-5.14432496976371,-145.596514177833,159
2024-04-08 12:43:14,-5.13531937711044,-145.565270261871,159
2024-04-08 12:43:15,-5.12632572935675,-145.534112662634,159
2024-04-08 12:43:16,-5.11734398695788,-145.50304109077,159
2024-04-08 12:43:17,-5.10837411036909,-145.472055256927,159
2024-04-08 12:43:18,-5.09941606004562,-145.441154871752,159
2024-04-08 12:43:19,-5.09046979644271,-145.410339645895,159
2024-04-08 12:43:20,-5.08153528001562,-145.379609290004,159
2024-04-08 12:43:21,-5.07261247121958,-145.348963514725,159
2024-04-08 12:43:22,-5.06370133050986,-145.318402030709,159
2024-04-08 12:43:23,-5.05480181834169,-145.287924548602,159
2024-04-08 12:43:24,-5.04591389517031,-145.257530779053,159
2024-04-08 12:43:25,-5.03703752145099,-145.227220432711,159
2024-04-08 12:43:26,-5.02817265763896,-145.196993220222,159
2024-04-08 12:43:27,-5.01931926418948,-145.166848852236,159
2024-04-08 12:43:28,-5.01047730155778,-145.136787039401,159
2024-04-08 12:43:29,-5.00164673019911,-145.106807492364,159
2024-04-08 12:43:30,-4.99282751056873,-145.076909921774,159
2024-04-08 12:43:31,-4.98401960312188,-145.047094038279,159
2024-04-08 12:43:32,-4.97522296831381,-145.017359552527,159
2024-04-08 12:43:33,-4.96643756659975,-144.987706175166,159
2024-04-08 12:43:34,-4.95766335843497,-144.958133616845,159
2024-04-08 12:43:35,-4.94890030427471,-144.928641588212,159
2024-04-08 12:43:36,-4.94014836457421,-144.899229799914,159
2024-04-08 12:43:37,-4.93140749978872,-144.8698979626,159
2024-04-08 12:43:38,-4.92267767037349,-144.840645786918,159
2024-04-08 12:43:39,-4.91395883678376,-144.811472983516,159
2024-04-08 12:43:40,-4.90525095947478,-144.782379263042,159
2024-04-08 12:43:41,-4.8965539989018,-144.753364336145,159
2024-04-08 12:43:42,-4.88786791552007,-144.724427913473,159
2024-04-08 12:43:43,-4.87919266978483,-144.695569705673,159
2024-04-08 12:43:44,-4.87052822215133,-144.666789423394,159
2024-04-08 12:43:45,-4.86187453307482,-144.638086777285,159
2024-04-08 12:43:46,-4.85323156301054,-144.609461477992,159
2024-04-08 12:43:47,-4.84459927241373,-144.580913236165,159
2024-04-08 12:43:48,-4.83597762173966,-144.552441762451,159
2024-04-08 12:43:49,-4.82736657144356,-144.524046767499,159
2024-04-08 12:43:50,-4.81876608198068,-144.495727961957,159
2024-04-08 12:43:51,-4.81017611380626,-144.467485056473,159
2024-04-08 12:43:52,-4.80159662737557,-144.439317761695,159
2024-04-08 12:43:53,-4.79302758314383,-144.411225788271,159
2024-04-08 12:43:54,-4.7844689415663,-144.383208846849,159
2024-04-08 12:43:55,-4.77592066309823,-144.355266648078,159
2024-04-08 12:43:56,-4.76738270819486,-144.327398902606,159
2024-04-08 12:43:57,-4.75885503731144,-144.299605321081,159
2024-04-08 12:43:58,-4.75033761090321,-144.27188561415,159
2024-04-08 12:43:59,-4.74183038942543,-144.244239492463,159
2024-04-08 12:44:00,-4.73333333333333,-144.216666666667,166
2024-04-08 12:44:01,-4.7248464016477,-144.189166837981,166
2024-04-08 12:44:02,-4.71636954765139,-144.161739669905,166
2024-04-08 12:44:03,-4.70790272319278,-144.134384816511,166
2024-04-08 12:44:04,-4.69944588012027,-144.10710193187,166
2024-04-08 12:44:05,-4.69099897028224,-144.079890670054,166
2024-04-08 12:44:06,-4.68256194552707,-144.052750685132,166
2024-04-08 12:44:07,-4.67413475770315,-144.025681631177,166
2024-04-08 12:44:08,-4.66571735865886,-143.99868316226,166
2024-04-08 12:44:09,-4.65730970024259,-143.971754932452,166
2024-04-08 12:44:10,-4.64891173430272,-143.944896595824,166
2024-04-08 12:44:11,-4.64052341268764,-143.918107806446,166
2024-04-08 12:44:12,-4.63214468724574,-143.891388218392,166
2024-04-08 12:44:13,-4.6237755098254,-143.86473748573,166
2024-04-08 12:44:14,-4.615415832275,-143.838155262534,166
2024-04-08 12:44:15,-4.60706560644294,-143.811641202873,166
2024-04-08 12:44:16,-4.59872478417759,-143.78519496082,166
2024-04-08 12:44:17,-4.59039331732734,-143.758816190444,166
2024-04-08 12:44:18,-4.58207115774057,-143.732504545819,166
2024-04-08 12:44:19,-4.57375825726568,-143.706259681013,166
2024-04-08 12:44:20,-4.56545456775105,-143.6800812501,166
2024-04-08 12:44:21,-4.55716004104505,-143.653968907149,166
2024-04-08 12:44:22,-4.54887462899609,-143.627922306233,166
2024-04-08 12:44:23,-4.54059828345253,-143.601941101422,166
2024-04-08 12:44:24,-4.53233095626278,-143.576024946787,166
2024-04-08 12:44:25,-4.5240725992752,-143.550173496401,166
2024-04-08 12:44:26,-4.5158231643382,-143.524386404333,166
2024-04-08 12:44:27,-4.50758260330015,-143.498663324655,166
2024-04-08 12:44:28,-4.49935086800943,-143.473003911438,166
2024-04-08 12:44:29,-4.49112791031445,-143.447407818753,166
2024-04-08 12:44:30,-4.48291368206357,-143.421874700673,166
2024-04-08 12:44:31,-4.47470813510518,-143.396404211266,166
2024-04-08 12:44:32,-4.46651122128768,-143.370996004606,166
2024-04-08 12:44:33,-4.45832289245944,-143.345649734763,166
2024-04-08 12:44:34,-4.45014310046885,-143.320365055808,166
2024-04-08 12:44:35,-4.4419717971643,-143.295141621813,166
2024-04-08 12:44:36,-4.43380893439416,-143.269979086848,166
2024-04-08 12:44:37,-4.42565446400684,-143.244877104985,166
2024-04-08 12:44:38,-4.4175083378507,-143.219835330295,166
2024-04-08 12:44:39,-4.40937050777414,-143.194853416849,166
2024-04-08 12:44:40,-4.40124092562555,-143.169931018718,166
2024-04-08 12:44:41,-4.3931195432533,-143.145067789974,166
2024-04-08 12:44:42,-4.38500631250578,-143.120263384688,166
2024-04-08 12:44:43,-4.37690118523138,-143.09551745693,166
2024-04-08 12:44:44,-4.36880411327849,-143.070829660773,166
2024-04-08 12:44:45,-4.36071504849548,-143.046199650286,166
2024-04-08 12:44:46,-4.35263394273075,-143.021627079542,166
2024-04-08 12:44:47,-4.34456074783267,-142.997111602612,166
2024-04-08 12:44:48,-4.33649541564964,-142.972652873566,166
2024-04-08 12:44:49,-4.32843789803004,-142.948250546477,166
2024-04-08 12:44:50,-4.32038814682225,-142.923904275414,166
2024-04-08 12:44:51,-4.31234611387466,-142.89961371445,166
2024-04-08 12:44:52,-4.30431175103566,-142.875378517655,166
2024-04-08 12:44:53,-4.29628501015363,-142.8511983391,166
2024-04-08 12:44:54,-4.28826584307695,-142.827072832858,166
2024-04-08 12:44:55,-4.28025420165401,-142.803001652998,166
2024-04-08 12:44:56,-4.27225003773321,-142.778984453593,166
2024-04-08 12:44:57,-4.26425330316291,-142.755020888713,166
2024-04-08 12:44:58,-4.25626394979151,-142.731110612429,166
2024-04-08 12:44:59,-4.24828192946739,-142.707253278813,166
2024-04-08 12:45:00,-4.24030719403893,-142.683448541936,166
2024-04-08 12:45:01,-4.23233969535453,-142.659696055869,166
2024-04-08 12:45:02,-4.22437938526257,-142.635995474684,166
2024-04-08 12:45:03,-4.21642621561143,-142.61234645245,166
2024-04-08 12:45:04,-4.2084801382495,-142.58874864324,166
2024-04-08 12:45:05,-4.20054110502516,-142.565201701125,166
2024-04-08 12:45:06,-4.19260906778681,-142.541705280176,166
2024-04-08 12:45:07,-4.18468397838281,-142.518259034464,166
2024-04-08 12:45:08,-4.17676578866157,-142.49486261806,166
2024-04-08 12:45:09,-4.16885445047145,-142.471515685036,166
2024-04-08 12:45:10,-4.16094991566086,-142.448217889462,166
2024-04-08 12:45:11,-4.15305213607818,-142.42496888541,166
2024-04-08 12:45:12,-4.14516106357178,-142.401768326951,166
2024-04-08 12:45:13,-4.13727664999006,-142.378615868157,166
2024-04-08 12:45:14,-4.1293988471814,-142.355511163097,166
2024-04-08 12:45:15,-4.12152760699419,-142.332453865844,166
2024-04-08 12:45:16,-4.11366288127681,-142.309443630469,166
2024-04-08 12:45:17,-4.10580462187764,-142.286480111043,166
2024-04-08 12:45:18,-4.09795278064508,-142.263562961636,166
2024-04-08 12:45:19,-4.0901073094275,-142.240691836321,166
2024-04-08 12:45:20,-4.0822681600733,-142.217866389169,166
2024-04-08 12:45:21,-4.07443528443085,-142.195086274249,166
2024-04-08 12:45:22,-4.06660863434855,-142.172351145635,166
2024-04-08 12:45:23,-4.05878816167477,-142.149660657397,166
2024-04-08 12:45:24,-4.05097381825791,-142.127014463605,166
2024-04-08 12:45:25,-4.04316555594635,-142.104412218332,166
2024-04-08 12:45:26,-4.03536332658847,-142.081853575648,166
2024-04-08 12:45:27,-4.02756708203266,-142.059338189625,166
2024-04-08 12:45:28,-4.01977677412731,-142.036865714334,166
2024-04-08 12:45:29,-4.01199235472079,-142.014435803846,166
2024-04-08 12:45:30,-4.0042137756615,-141.992048112232,166
2024-04-08 12:45:31,-3.99644098879782,-141.969702293563,166
2024-04-08 12:45:32,-3.98867394597814,-141.947398001911,166
2024-04-08 12:45:33,-3.98091259905083,-141.925134891347,166
2024-04-08 12:45:34,-3.9731568998643,-141.902912615941,166
2024-04-08 12:45:35,-3.96540680026691,-141.880730829765,166
2024-04-08 12:45:36,-3.95766225210706,-141.858589186891,166
2024-04-08 12:45:37,-3.94992320723313,-141.836487341389,166
2024-04-08 12:45:38,-3.94218961749351,-141.814424947331,166
2024-04-08 12:45:39,-3.93446143473658,-141.792401658787,166
2024-04-08 12:45:40,-3.92673861081073,-141.770417129829,166
2024-04-08 12:45:41,-3.91902109756435,-141.748471014529,166
2024-04-08 12:45:42,-3.91130884684581,-141.726562966957,166
2024-04-08 12:45:43,-3.9036018105035,-141.704692641184,166
2024-04-08 12:45:44,-3.89589994038581,-141.682859691281,166
2024-04-08 12:45:45,-3.88820318834113,-141.661063771321,166
2024-04-08 12:45:46,-3.88051150621784,-141.639304535374,166
2024-04-08 12:45:47,-3.87282484586432,-141.61758163751,166
